name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Jeanneau Sun Odyssey 469,,,316441,,,,,,,
Jeanneau Sun Odyssey 410,,,316323,,,,,,,
Dufour 390 Grand Large,,,316375,,,,,,,
Moonraker 36 Complete Mould Tools,GBP,2000.00,177003,10.97,1972,GRP,Semi-Displacement,,,Brundall/ Norfolk
Sailfish 18,GBP,1999.00,310273,5.64,unknown year,GRP,Lifting Keel,2,1 x gasoline 4hp/ Johnson Twin (unknown year),Norfolk!
Lagoon 380 Comfort Trim,,,316444,,,,,,,
Hanse 418,,,316326,,,,,,,
Beneteau Oceanis 43,,,316466,,,,,,,
St Francis 46,USD,1050000.00,314040,13.98,New,GRP,Multihull,8,2 x diesel 45hp/ 2 X Yanmar 4JH45-CR 45HP with SD60 Sail Drives,Eastern Cape
Dufour 460 Grand Large,EUR,275000.00,317536,14.15,2020,GRP,Other,10,1 x diesel 75hp/ Volvo Penta D2 60  (2020),Athens
Jeanneau Sun Odyssey 410,,,316400,,,,,,,
Jeanneau Sun Odyssey 410,,,316406,,,,,,,
Jeanneau Sun Odyssey 410,,,316460,,,,,,,
Jeanneau Sun Odyssey 439,,,316433,,,,,,,
Beneteau Oceanis 41.1,,,316513,,,,,,,
Achilles 24 Sailing Yacht,GBP,1695.00,311500,7.24,1969,GRP,Fin,4,1 x gas 2 stroke 4hp/ Mercury (1990),Essex
Jeanneau Sun Odyssey 419,,,316430,,,,,,,
Jeanneau Sun Odyssey 42i,,,316700,,,,,,,
Jeanneau Sun Odyssey 45 DS,,,316474,,,,,,,
Beneteau  Cyclades 43.4,,,316505,,,,,,,
Renegade  37,GBP,239995.00,313521,11.28,2014,Steel,Fin,7,1 x diesel 50hp/ Nanni (2014),North Suffolk 
Bavaria 40 Cruiser,,,316524,,,,,,,
Beneteau Oceanis 43,,,316532,,,,,,,
Zar Air 8 Demonstrator,GBP,1495.00,315762,2.40,2022,Rubber,Planing,,1 x gasoline 4hp/ Mercury 4 (2020),Ipswich
Jeanneau Sun Odyssey 349,,,316422,,,,,,,
Jeanneau Sun Odyssey 349,,,316425,,,,,,,
Bavaria 51 Cruiser,EUR,270000.00,320330,15.59,2016,GRP,Fin and Bulb,10,1 x diesel 75hp/ Volvo Penta (2016),Thessaloniki
Helmsman Trawlers 31 Sedan,USD,289000.00,315572,9.45,2018,GRP,Semi-Displacement,4,1 x diesel 225hp/ Volvo Penta D4-225 (2018),Seattle/ WA USA - At Our Docks!
Nordhavn 46 Long Range Trawler Yacht,USD,280000.00,260642,13.94,1993,GRP,Full-Displacement,5,1 x diesel 143hp/ Lugger 6 Cyl  (1993),Phuket / Thailand
Dutch Barge Luxe Motor 70FT,GBP,225000.00,320674,21.34,2001,Steel,Full-Displacement,4,1 x diesel 135hp/ Perkins Sabre (2001),Manchester
Collingwood Wide Beam 70  (Built In 2022),GBP,224995.00,316262,21.79,2022,Steel,Full-Displacement,8,1 x diesel 70hp/ Canaline (2022),Essex
Narrowboat 65ft With London Mooring,GBP,220000.00,320534,19.81,1971,Steel,Full-Displacement,2,1 x diesel 25hp/ Lister Petter TR3 (unknown year),Cumberland Basin/ Regent's Park NW1
Dutch Barge Tjalk 2180,GBP,220000.00,317627,21.95,1923,Steel,Full-Displacement,4,1 x diesel 120hp/ fiat aifo 806M (unknown year),Brundall
Motor Yacht 57ft Twin Screw,GBP,220000.00,317217,17.37,1923,Wood,Semi-Displacement,4,2 x diesel 75hp/ Gardner 4 LW (1950),Weybridge
