name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Van Der Stadt Tufglass 33,GBP,9995.00,314376,10.01,1978,GRP,Long Keel,5,1 x diesel 20hp/ Ford (unknown year),Essex
Ribcraft 4.8m,GBP,9995.00,320556,4.80,2002,GRP,Planing,,1 x gasoline 60hp/ Mariner (2002),North Suffolk 
Glen L Squirt,GBP,9995.00,312512,3.35,2018,Wood,Planing,,1 x gasoline 15hp/ Suzuki DF15  (2015),Theford/ Norfolk
Colvic Fisher 25,GBP,9995.00,314401,7.62,1975,GRP,Full-Displacement,4,1 x diesel 46hp/ Perkins 4108 (unknown year),Essex
Tiara 4200-open Open,USD,345000.00,312242,14.45,2007,GRP,Semi-Displacement,6,2 x diesel 715hp/ cummins QSM11 (2007), Ciudad de Panamá
Trapper 501,GBP,9995.00,317145,8.53,1982,GRP,Bilge,6,1 x diesel 20hp/ Yanmar 2GM20 (2018),Essex
Leisure 27 Bilge Keeled,GBP,9950.00,320044,8.23,1979,GRP,Bilge,6,1 x diesel 12.5hp/ Beta Marine (2014),Solva
Cap Ferret 502 Cabin,GBP,9950.00,320644,4.82,2005,GRP,Planing,2,1 x gasoline 60hp/ Mercury (2005),Falmouth/ UK
Olympic 500 CCF,GBP,9950.00,320705,5.44,2007,GRP,Planing,,1 x gas 2 stroke 90hp/ Mercury Optimax (2007),Neyland/ Pembrokeshire
Summercraft Classic 27 NOW REDUCED!,GBP,9950.00,312237,8.20,1976,GRP,Planing,2,1 x diesel 35hp/ BMC 1.5 (1976),North Suffolk
Trusty 21,GBP,9950.00,313444,6.40,1998,GRP,Full-Displacement,,1 x diesel 25hp/ Beta Marine (unknown year),Neyland/ Pembrokeshire
Nantucket Clipper,GBP,9950.00,221030,9.40,1976,GRP,Long Keel,3,1 x diesel 8hp/ Sabb (1976),Isle of Wight
Bayliner Capri 1702 LS Sports Cuddy,GBP,9950.00,317362,5.19,1997,GRP,Planing,2,1 x gas 2 stroke 90hp/ Force (1997),Medway/ Kent
Project 26,GBP,9950.00,314434,7.92,1992,GRP,Planing,2,1 x diesel 212hp/ Ford Sabre Turbo Charged (1999),Neyland/ Pembrokeshire
Westerly Berwick,GBP,9950.00,316706,9.45,1979,GRP,Bilge,6,1 x diesel 28hp/ Volvo Penta (1988),Brighton
Jeanneau Sun Odyssey 440,USD,330000.00,316477,13.39,2019,GRP,Fin and Bulb,5,1 x diesel 45hp/ Yanmar 4JH45  (2018),BVI
Oday 25,USD,12000.00,316053,7.62,1976,GRP,Lifting Keel,5,1 x gasoline 9.9hp/ Suzuki Power Tilt (unknown year),Port Hadlock/ WA USA -- By appointment
Jeanneau Tonic 23 Lifting Keel,GBP,9750.00,302777,7.29,1987,GRP,Other,4,1 x diesel 9hp/ Yanmar 1GM10 (1987),Suffolk
Lagoon 46,,,316502,,,,,,,
She 31 Design#1899,GBP,9500.00,301435,9.24,1971,GRP,Fin and Bulb,5,1 x diesel 13hp/ Volvo Penta MD7a  (1971),Falmouth UK
Valiant 490,GBP,9499.00,321001,4.90,2005,GRP,Planing,,1 x gasoline 60hp/ mercury 4 Stroke  (2005),Bangor 
Seamaster 925,GBP,9450.00,311274,9.25,1977,GRP,Fin,7,1 x diesel 13.5hp/ Beta 14+ (2016),Mallaig
Atlanta Viking 8.5,GBP,9450.00,317260,8.57,1979,GRP,Bilge,5,1 x diesel 20hp/ Beta Marine BD 722 (2005),Cardigan
GibSea 76,GBP,9000.00,313656,8.20,1986,GRP,Fin,6,1 x diesel 9hp/ Vovlo 2001 (unknown year),Portsmouth
Wellcraft Excalibur 190,GBP,8999.00,320207,5.63,2003,GRP,Planing,,1 x gasoline 220hp/ mercruiser 4.3 litre thunderbolt V ignition  (2003),Menai Bridge 
